seed,method_name,data_name,data_n_classes,data_dim,data_n_samples,data_seed,data_seed_split,data_r,data_batch_size_train,data_batch_size_test,data_class_subset,model_name,model_model_seed,metric_learning_lbd,metric_learning_temperature,metric_learning_magnitude,gini_temperature,gini_normalize_gini,gini_magnitude,max_proba_temperature,max_proba_magnitude,clustering_name,clustering_distance,clustering_n_clusters,clustering_reorder_embs,clustering_seed,clustering_alpha,clustering_init_scheme,clustering_n_init,clustering_space,clustering_cov_type,clustering_temperature,clustering_normalize_gini,clustering_reduction_name,clustering_reduction_dim,clustering_reduction_n_neighbors,clustering_reduction_seed,experiment_datetime,experiment_folder,fpr_train,tpr_train,thr_train,fpr_val,tpr_val,thr_val
1,clustering,cifar100,100,3072,10000,,7,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.5,False,,,,,2025-07-15_16-58-39,bwe,0.5412590920491598,0.9733464955577492,0.124055445,0.5502882767456758,0.979498861047836,0.124055445
1,clustering,cifar100,100,3072,10000,,8,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.5,False,,,,,2025-07-15_16-58-39,bwe,0.4242193450114242,0.9538171536286524,0.25028753,0.4125786163522013,0.9560975609756096,0.25028753
1,clustering,cifar100,100,3072,10000,,9,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.5,False,,,,,2025-07-15_16-58-39,bwe,0.3693397419681254,0.9541547277936964,0.26915935,0.4599303135888501,0.9525504151838672,0.1993411
1,clustering,cifar100,100,3072,10000,,1,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-40,bwe,0.4161790892902569,0.9513564078578112,0.2309051,0.4425087108013937,0.951364175563464,0.21873531
1,clustering,cifar100,100,3072,10000,,2,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-40,bwe,0.4490881458966565,0.9600760456273764,0.17759226,0.4376187460417986,0.9584323040380048,0.17759226
1,clustering,cifar100,100,3072,10000,,3,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-51,bwe,0.4161125319693095,0.9522935779816514,0.24422187,0.4215962441314554,0.9503105590062112,0.24422187
1,clustering,cifar100,100,3072,10000,,4,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-52,bwe,0.5053871210223002,0.9672943508424182,0.15095378,0.5161807113104774,0.9715585893060296,0.15095378
1,clustering,cifar100,100,3072,10000,,5,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-52,bwe,0.4359888012216849,0.9598506069094304,0.19852704,0.4542286981311371,0.9596678529062872,0.19852704
1,clustering,cifar100,100,3072,10000,,6,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-53,bwe,0.4370088719898606,0.9516587677725118,0.2094723,0.4051997463538364,0.950354609929078,0.2094723
1,clustering,cifar100,100,3072,10000,,7,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-58-54,bwe,0.4281414597441685,0.9516288252714707,0.23074824,0.4487508007687379,0.9567198177676538,0.23074824
1,clustering,cifar100,100,3072,10000,,8,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-59-04,bwe,0.4716933231784717,0.9632422243166824,0.21129924,0.4619496855345912,0.9621951219512196,0.21129924
1,clustering,cifar100,100,3072,10000,,9,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,7.899999999999999,False,,,,,2025-07-15_16-59-10,bwe,0.5094864659752087,0.9694364851957976,0.13957945,0.5156794425087108,0.963226571767497,0.13957945
1,clustering,cifar100,100,3072,10000,,1,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,8.3,False,,,,,2025-07-15_16-59-10,bwe,0.4146527601119308,0.950420954162769,0.2254608,0.5384859043395629,0.9691577698695136,0.1234654
1,clustering,cifar100,100,3072,10000,,2,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,8.3,False,,,,,2025-07-15_16-59-10,bwe,0.4204660587639311,0.9534220532319392,0.21102348,0.4721342621912603,0.9501187648456056,0.12657729
1,clustering,cifar100,100,3072,10000,,3,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,8.3,False,,,,,2025-07-15_16-59-10,bwe,0.4434782608695652,0.9587155963302753,0.24003693,0.4231611893583724,0.9503105590062112,0.2420019
1,clustering,cifar100,100,3072,10000,,5,2,256,256,,resnet34,1,,,,,,,,,soft-kmeans,,80.0,True,0.0,0.05,kmeans,5.0,probits,diag,8.3,False,,,,,2025-07-15_16-59-18,bwe,0.5047085772461186,0.9663865546218487,0.1521765,0.5226480836236934,0.9679715302491104,0.1521765
